Name,Bezugseinheit,"Energie, Kilojoule (kJ)","Energie, Kalorien (kcal)","Fett, total (g)","Fettsäuren, gesättigt (g)","Fettsäuren, einfach ungesättigt (g)","Fettsäuren, mehrfach ungesättigt (g)",Cholesterin (mg),"Kohlenhydrate, verfügbar (g)",Zucker (g),Stärke (g),Nahrungsfasern (g),Protein (g),Salz (NaCl) (g),Wasser (g),,,,,,,,,,,,,,,,,,,,,Phosphor (P) (mg),Eisen (Fe) (mg),Jod (I) (µg),Zink (Zn)  (mg),Selen (Se) (µg)
Agar Agar,pro 100g essbarer Anteil,641,160,0.2,k.A.,k.A.,k.A.,k.A.,0,k.A.,k.A.,74.1,2.4,0.3,20.5,,,,,,,,,,,,,,,,,,,,,34,4.5,k.A.,1.5,k.A.
Agavensirup,pro 100g essbarer Anteil,1240,293,0,0,k.A.,k.A.,k.A.,73.1,k.A.,k.A.,0,0.2,0,k.A.,,,,,,,,,,,,,,,,,,,,,k.A.,k.A.,k.A.,k.A.,k.A.
Ahornsirup,pro 100 ml,1520,358,0.3,0,0.1,0.1,0,88.7,77.3,0,0,0,0,42.4,,,,,,,,,,,,,,,,,,,,,2.6,0.1,0,2.6,0.8
"Alge, Nori, getrocknet",pro 100g essbarer Anteil,1060,255,1.6,0.2,0.1,0.6,0,10.5,0.5,k.A.,36.3,31.5,5,6.5,,,,,,,,,,,,,,,,,,,,,520,37,5100,4.5,51
"Älplermagronen, zubereitet",pro 100g essbarer Anteil,753,180,9,5.3,2.1,0.5,26,17.9,1.4,16.3,1.7,6,1.1,65.6,,,,,,,,,,,,,,,,,,,,,120,0.4,6.6,0.8,k.A.
"Amaranth, Samen, gekocht (ohne Zugabe von Fett und Salz)",pro 100g essbarer Anteil,500,119,2.1,0.4,0.5,0.8,0,18.1,0.5,17.6,3.5,5,0,71.2,,,,,,,,,,,,,,,,,,,,,180,3,0.8,1.2,k.A.
"Amaranth, Samen, roh",pro 100g essbarer Anteil,1580,376,7,1.5,1.7,2.8,0,56.8,1.7,55.1,11,15.8,0,11.1,,,,,,,,,,,,,,,,,,,,,560,9,2.5,3.7,k.A.
Amaretti (Mandelgebäck),pro 100g essbarer Anteil,1950,464,13,1,k.A.,2.8,0,76.7,76.4,0.1,2.6,8.7,0.1,0.1,,,,,,,,,,,,,,,,,,,,,130,0.9,1.7,0.8,2.3
"Ananas, gezuckert (Konserve)",pro 100g essbarer Anteil,366,86,0.2,Sp.,Sp.,0.1,0,20.2,20.2,Sp.,1.3,0.4,0,77.9,,,,,,,,,,,,,,,,,,,,,9.9,0.3,Sp.,0.1,k.A.
"Ananas, roh",pro 100g essbarer Anteil,219,52,0.2,0,0,0.1,0,11.3,11.3,0,1.4,0.4,0,86.5,,,,,,,,,,,,,,,,,,,,,11,0.3,1.4,0.1,k.A.
"Ananas, ungezuckert (Konserve)",pro 100g essbarer Anteil,218,51,0.2,Sp.,Sp.,0.1,0,11.3,11.3,0,1.4,0.4,0,86.5,,,,,,,,,,,,,,,,,,,,,11,0.3,Sp.,0.1,k.A.
"Apfel, gedünstet, abgetropft (ohne Zugabe von Zucker)",pro 100g essbarer Anteil,248,59,0.4,0.1,0,0.1,0,12.3,12.2,0.1,2.2,0.4,0,84.7,,,,,,,,,,,,,,,,,,,,,9.5,0.2,1.1,0.1,k.A.
"Apfel, geschält, getrocknet",pro 100g essbarer Anteil,1250,295,2,0.5,0.1,1,0,63.2,60,0.1,9.2,1.5,0,20,,,,,,,,,,,,,,,,,,,,,56,2,10,0.6,k.A.
"Apfel, roh",pro 100g essbarer Anteil,232,55,0.3,0.1,0,0.1,0,11.7,11.6,0.1,2.1,0.3,0,85,,,,,,,,,,,,,,,,,,,,,9,0.2,0.8,0.1,k.A.
"Apfelkuchen, hausgemacht, gebacken (mit Blätterteig)",pro 100g essbarer Anteil,603,144,6.6,1.9,2.8,1.2,18,17.9,9.5,8.3,1.8,2.5,0.3,71.4,,,,,,,,,,,,,,,,,,,,,32,0.3,3.5,0.2,k.A.
"Apfelkuchen, hausgemacht, gebacken (mit Kuchenteig)",pro 100g essbarer Anteil,599,143,6,1.8,2.5,1.1,18,18.7,9.5,9.1,1.8,2.7,0.2,71,,,,,,,,,,,,,,,,,,,,,41,0.4,3.5,0.3,k.A.
"Apfelmus, gezuckert (Konserve)",pro 100g essbarer Anteil,379,89,0.3,0.1,0,0.1,0,20.5,20.4,0.1,1.9,0.3,0,76.5,,,,,,,,,,,,,,,,,,,,,8.1,0.2,0.7,0.1,k.A.
"Apfelmus, ungezuckert (Konserve)",pro 100g essbarer Anteil,232,55,0.3,0.1,0,0.1,0,11.7,11.6,0.1,2.1,0.3,0,85,,,,,,,,,,,,,,,,,,,,,9,0.2,0.8,0.1,k.A.
Apfelsaft,pro 100 ml,190,45,0.1,0,0,0.1,0,10.8,10.3,0,Sp.,0.1,0,87.7,,,,,,,,,,,,,,,,,,,,,8,0.2,2,0.1,k.A.
"Apfelwein, 4 vol%",pro 100 ml,132,32,0,0,0,0,0,2.5,2.5,0,0,0,0,93.2,,,,,,,,,,,,,,,,,,,,,5,0.8,10,0.2,k.A.
"Apfelwein, 6.2 vol%",pro 100 ml,269,64,0,0,0,0,0,7.3,7.3,0,0,0,0,86.9,,,,,,,,,,,,,,,,,,,,,9,0.3,10,0.2,k.A.
"Appenzeller, viertelfett",pro 100g essbarer Anteil,985,235,11.4,6.8,2.7,0.5,34,0,0,0,0,33.1,2,48.2,,,,,,,,,,,,,,,,,,,,,730,0.2,35,2.5,k.A.
"Appenzeller, vollfett",pro 100g essbarer Anteil,1590,384,31.7,19,7.4,1.5,95,0,0,0,0,24.3,1.6,39.6,,,,,,,,,,,,,,,,,,,,,540,0.3,8.4,4,k.A.
"Aprikose, gedünstet, abgetropft (ohne Zugabe von Zucker)",pro 100g essbarer Anteil,208,49,0.1,0,0,0,0,10,10,0,2.1,1,0,86.8,,,,,,,,,,,,,,,,,,,,,20,0.5,0.6,0.2,k.A.
"Aprikose, getrocknet",pro 100g essbarer Anteil,1240,293,0.5,0.2,0.1,0.2,0,59.1,34.3,<0.4,8.3,2.9,0,24.7,,,,,,,,,,,,,,,,,,,,,110,1.4,2.7,0.4,k.A.
"Aprikose, gezuckert (Konserve)",pro 100g essbarer Anteil,354,83,0.1,Sp.,Sp.,Sp.,0,19,19,Sp.,1.9,0.7,0,78,,,,,,,,,,,,,,,,,,,,,18,0.4,0.5,0.1,k.A.
"Aprikose, roh",pro 100g essbarer Anteil,204,48,0.1,Sp.,Sp.,Sp.,0,10,10,Sp.,2.1,0.8,0,86.7,,,,,,,,,,,,,,,,,,,,,20,0.4,0.5,0.1,k.A.
"Aprikose, ungezuckert (Konserve)",pro 100g essbarer Anteil,204,48,0.1,Sp.,Sp.,Sp.,0,10,10,Sp.,2.1,0.8,0,86.7,,,,,,,,,,,,,,,,,,,,,20,0.4,0.5,0.1,k.A.
"Aprikosenkuchen, hausgemacht, gebacken (mit Blätterteig)",pro 100g essbarer Anteil,584,140,6.4,1.9,2.8,1.1,18,16.8,8.4,8.3,1.8,2.8,0.3,72.4,,,,,,,,,,,,,,,,,,,,,40,0.4,3.3,0.2,k.A.
"Aprikosenkuchen, hausgemacht, gebacken (mit Kuchenteig)",pro 100g essbarer Anteil,580,138,5.8,1.7,2.5,1,18,17.6,8.4,9.1,1.8,3,0.2,71.9,,,,,,,,,,,,,,,,,,,,,48,0.6,3.3,0.3,k.A.
"Artischocken, Herz, abgetropft (Konserve)",pro 100g essbarer Anteil,114,27,0.5,0,0,0,0,2.3,1.2,0.4,3.2,1.8,0.8,90.5,,,,,,,,,,,,,,,,,,,,,34,0.4,20,0.3,20
"Aubergine, gedämpft (ohne Zugabe von Salz)",pro 100g essbarer Anteil,98,23,0.2,0,0,0.1,0,3.2,2.9,0.3,2.4,1,0,93.2,,,,,,,,,,,,,,,,,,,,,21,0.2,0.2,0.1,k.A.
"Aubergine, gedünstet (ohne Zugabe von Fett und Salz)",pro 100g essbarer Anteil,112,27,0.2,0,0,0.1,0,3.6,3.3,0.3,2.8,1.2,0,92.2,,,,,,,,,,,,,,,,,,,,,25,0.3,0.2,0.2,k.A.
"Aubergine, roh",pro 100g essbarer Anteil,96,23,0.2,0,0,0.1,0,3.1,2.8,0.3,2.4,1,0,92.7,,,,,,,,,,,,,,,,,,,,,21,0.3,0.2,0.1,k.A.
"Auberginen-Piccata, zubereitet",pro 100g essbarer Anteil,584,140,8.4,2.3,4.2,1,67,9.5,2.6,6.8,2.4,5.5,0.2,74.3,,,,,,,,,,,,,,,,,,,,,93,0.6,9.1,0.6,k.A.
"Auberginenscheiben, paniert, zubereitet",pro 100g essbarer Anteil,577,138,5.8,0.7,3.6,0.9,47,15.2,3.1,12.1,2.9,4.6,0.2,71.6,,,,,,,,,,,,,,,,,,,,,60,0.6,5.7,0.4,k.A.
Aufschnitt (Durchschnitt),pro 100g essbarer Anteil,1140,276,24.2,9.1,11.3,2.3,59,0.7,0.7,0,0,13.9,2,61.2,,,,,,,,,,,,,,,,,,,,,160,0.8,0.9,1.5,k.A.
"Avocado, roh",pro 100g essbarer Anteil,594,144,14.2,2.9,8.9,1.8,0,0.8,0.8,Sp.,3,1.8,0,76.4,,,,,,,,,,,,,,,,,,,,,44,1,1,0.6,k.A.
"Bäckerhefe, gepresst",pro 100g essbarer Anteil,402,96,1.2,0.2,0.4,0.6,0,1.1,0,1,6.9,16.7,0.1,72,,,,,,,,,,,,,,,,,,,,,370,2.9,0.6,2.4,1
Balsamicoessig,pro 100g essbarer Anteil,544,128,0.6,0,0,0,0,25.8,19.1,0,0.5,0.7,0.1,70.3,,,,,,,,,,,,,,,,,,,,,24,1,20,0.1,20
"Bami Goreng, zubereitet",pro 100g essbarer Anteil,548,130,2.4,0.3,1.3,0.5,44,13.2,1.4,11.3,0.9,13.5,1,70.1,,,,,,,,,,,,,,,,,,,,,120,0.7,1.6,0.7,k.A.
"Banane, gedörrt",pro 100g essbarer Anteil,1570,370,1.8,0.7,0.2,0.3,0,80.7,65.3,15.4,7.6,3.9,0,3,,,,,,,,,,,,,,,,,,,,,74,1.2,Sp.,Sp.,k.A.
"Banane, getrocknet",pro 100g essbarer Anteil,1160,273,1,0.4,0.1,0.2,0,60.2,43.7,16.5,5.5,3,0,28,,,,,,,,,,,,,,,,,,,,,75,1.3,8.1,0.6,k.A.
"Banane, roh",pro 100g essbarer Anteil,403,95,0.3,0.1,Sp.,0.1,0,21,17.2,3.8,2,1.1,0,74,,,,,,,,,,,,,,,,,,,,,22,0.4,2,0.2,k.A.
"Basilikum, roh",pro 100g essbarer Anteil,194,46,0.8,0.1,0,0.4,0,5.1,5,0.1,3.1,3.1,0,86.4,,,,,,,,,,,,,,,,,,,,,37,5.5,0.9,0.7,k.A.
Basler Leckerli,pro 100g essbarer Anteil,1740,412,7.9,0.7,4.5,1.8,0,75,52.1,22.6,2.8,7.5,0,7,,,,,,,,,,,,,,,,,,,,,98,1,0.4,0.7,k.A.
Bauernbrot,pro 100g essbarer Anteil,1020,241,2,0.7,0.4,0.6,4,44.3,2.4,41.7,4.4,9.2,1.8,40.8,,,,,,,,,,,,,,,,,,,,,170,1.5,1.3,1.4,3.4
Bauernsalami,pro 100g essbarer Anteil,2200,532,49.5,18.7,23.2,5.2,84,0.8,0.8,0,0,20.6,3.9,28.9,,,,,,,,,,,,,,,,,,,,,170,1.4,0.9,2.7,k.A.
Bauernschüblig,pro 100g essbarer Anteil,2170,524,48.5,18.8,23,4.4,86,0.3,0.3,0,0,21.3,4,29.7,,,,,,,,,,,,,,,,,,,,,270,1.5,1.1,2.9,k.A.
Baumnuss,pro 100g essbarer Anteil,2930,709,67.3,6.5,14.1,43.6,0,6.9,3,<0,6.7,15.7,0,4,,,,,,,,,,,,,,,,,,,,,360,2.6,<5,2.7,1.2
Baumnussbrot,pro 100g essbarer Anteil,1390,332,17.9,3.9,3.8,8.9,23,30.8,2,27.9,5.8,9.2,1.2,37.2,,,,,,,,,,,,,,,,,,,,,210,2.1,3.7,1.9,3
Baumnussöl,pro 100 ml,3330,810,90,9,15.1,62.6,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
"Béchamelsauce, hausgemacht",pro 100g essbarer Anteil,612,147,9.9,6,2.3,0.5,31,10.1,4.8,5.3,0.2,4.2,0.7,75.5,,,,,,,,,,,,,,,,,,,,,99,0.1,9.9,0.4,1.3
"Beeren (Durchschnitt), gekocht (ohne Zugabe von Zucker)",pro 100g essbarer Anteil,155,37,0.5,0,0.1,0.3,0,6.1,6.1,0,2.4,0.8,0,90.3,,,,,,,,,,,,,,,,,,,,,19,0.4,1.2,0.1,k.A.
"Beeren (Durchschnitt), roh",pro 100g essbarer Anteil,177,42,0.5,0,0.1,0.2,0,7.2,7.2,0,2.8,0.8,0,88.7,,,,,,,,,,,,,,,,,,,,,23,0.5,1.2,0.1,k.A.
Berliner,pro 100g essbarer Anteil,1410,336,12.8,6.8,4,0.9,104,45.8,17.1,28.5,2.2,8.4,0.6,32.2,,,,,,,,,,,,,,,,,,,,,100,1.3,4.1,0.9,k.A.
Berner Alpkäse,pro 100g essbarer Anteil,1880,453,38.3,k.A.,k.A.,k.A.,k.A.,0,k.A.,0,0,27.1,1.6,26.2,,,,,,,,,,,,,,,,,,,,,k.A.,k.A.,k.A.,k.A.,k.A.
Berner Hobelkäse,pro 100g essbarer Anteil,2030,491,41.2,k.A.,k.A.,k.A.,k.A.,0,k.A.,0,0,30,1.7,21.9,,,,,,,,,,,,,,,,,,,,,k.A.,k.A.,k.A.,k.A.,k.A.
Berner Zungenwurst,pro 100g essbarer Anteil,1380,333,29.4,10.8,13.7,3,63,0,0,0,0,17.3,1.5,53.3,,,,,,,,,,,,,,,,,,,,,100,1.3,0.7,2.4,k.A.
Biber,pro 100g essbarer Anteil,1500,355,5.6,0.7,3,1.3,22,65.6,36.9,28.4,3,7.8,0,18.1,,,,,,,,,,,,,,,,,,,,,97,1.3,2.7,0.8,2.2
Bier Panache (Durchschnitt),pro 100 ml,166,39,0,0,0,0,0,7.4,7.1,0,0,0.2,0,91.1,,,,,,,,,,,,,,,,,,,,,7,0.1,1.7,0,k.A.
"Bier, alkoholfrei",pro 100 ml,99,23,0,0,0,0,0,4.9,2.6,0,0,0.4,0,93.3,,,,,,,,,,,,,,,,,,,,,11,0,1,8,k.A.
"Bier, Lager",pro 100 ml,176,42,0,0,0,0,0,3.1,2.2,0,0,0.5,0,91.9,,,,,,,,,,,,,,,,,,,,,19,0,1.5,0,k.A.
"Bierhefe, getrocknet",pro 100g essbarer Anteil,1500,354,4.2,0.6,1.3,2.1,0,26.5,3.2,23.3,9.5,47.9,0.2,6,,,,,,,,,,,,,,,,,,,,,1900,18,4,8,k.A.
Bierwurst,pro 100g essbarer Anteil,1210,291,25.4,9.4,11.8,2.6,63,0,0,0,0,15.6,1.4,59,,,,,,,,,,,,,,,,,,,,,79,1.2,0.7,2.1,k.A.
"Birchermüesli, zubereitet (ungezuckert)",pro 100g essbarer Anteil,367,87,3.2,1.2,1,0.7,5,11.2,8.3,2.8,1.9,2.6,0.1,81.2,,,,,,,,,,,,,,,,,,,,,75,0.4,5.8,0.4,k.A.
"Birne, gedünstet, abgetropft (ohne Zugabe von Zucker)",pro 100g essbarer Anteil,257,61,0.4,0.1,0.1,0.1,0,12.7,12.7,0,2.4,0.5,0,84.1,,,,,,,,,,,,,,,,,,,,,14,0.2,1,0.2,k.A.
"Birne, getrocknet",pro 100g essbarer Anteil,1220,289,1.4,0.1,0.5,0.6,0,59.7,49.3,0,13.5,2.4,0,20,,,,,,,,,,,,,,,,,,,,,72,1.3,5,1.1,k.A.
"Birne, gezuckert (Konserve)",pro 100g essbarer Anteil,389,92,0.3,0,0,0.1,0,21,21,Sp.,2.1,0.4,0,76.2,,,,,,,,,,,,,,,,,,,,,12,0.2,0.7,0.1,k.A.
"Birne, roh",pro 100g essbarer Anteil,244,58,0.3,0,0.1,0.1,0,12.2,12.2,Sp.,2.3,0.4,0,84.7,,,,,,,,,,,,,,,,,,,,,13,0.2,0.8,0.1,k.A.
